A B M S F
0 0 0 0 15
1 0 0 0 14
2 0 0 0 13
3 0 0 0 12
4 0 0 0 11
5 0 0 0 10
6 0 0 0 9
7 0 0 0 8
8 0 0 0 7
9 0 0 0 6
10 0 0 0 5
11 0 0 0 4
12 0 0 0 3
13 0 0 0 2
14 0 0 0 1
15 0 0 0 0
0 0 0 1 15
0 1 0 1 15
0 2 0 1 15
0 3 0 1 15
0 4 0 1 15
0 5 0 1 15
0 6 0 1 15
0 7 0 1 15
0 8 0 1 15
0 9 0 1 15
0 10 0 1 15
0 11 0 1 15
0 12 0 1 15
0 13 0 1 15
0 14 0 1 15
0 15 0 1 15
1 0 0 1 15
1 1 0 1 14
1 2 0 1 15
1 3 0 1 14
1 4 0 1 15
1 5 0 1 14
1 6 0 1 15
1 7 0 1 14
1 8 0 1 15
1 9 0 1 14
1 10 0 1 15
1 11 0 1 14
1 12 0 1 15
1 13 0 1 14
1 14 0 1 15
1 15 0 1 14
2 0 0 1 15
2 1 0 1 15
2 2 0 1 13
2 3 0 1 13
2 4 0 1 15
2 5 0 1 15
2 6 0 1 13
2 7 0 1 13
2 8 0 1 15
2 9 0 1 15
2 10 0 1 13
2 11 0 1 13
2 12 0 1 15
2 13 0 1 15
2 14 0 1 13
2 15 0 1 13
3 0 0 1 15
3 1 0 1 14
3 2 0 1 13
3 3 0 1 12
3 4 0 1 15
3 5 0 1 14
3 6 0 1 13
3 7 0 1 12
3 8 0 1 15
3 9 0 1 14
3 10 0 1 13
3 11 0 1 12
3 12 0 1 15
3 13 0 1 14
3 14 0 1 13
3 15 0 1 12
4 0 0 1 15
4 1 0 1 15
4 2 0 1 15
4 3 0 1 15
4 4 0 1 11
4 5 0 1 11
4 6 0 1 11
4 7 0 1 11
4 8 0 1 15
4 9 0 1 15
4 10 0 1 15
4 11 0 1 15
4 12 0 1 11
4 13 0 1 11
4 14 0 1 11
4 15 0 1 11
5 0 0 1 15
5 1 0 1 14
5 2 0 1 15
5 3 0 1 14
5 4 0 1 11
5 5 0 1 10
5 6 0 1 11
5 7 0 1 10
5 8 0 1 15
5 9 0 1 14
5 10 0 1 15
5 11 0 1 14
5 12 0 1 11
5 13 0 1 10
5 14 0 1 11
5 15 0 1 10
6 0 0 1 15
6 1 0 1 15
6 2 0 1 13
6 3 0 1 13
6 4 0 1 11
6 5 0 1 11
6 6 0 1 9
6 7 0 1 9
6 8 0 1 15
6 9 0 1 15
6 10 0 1 13
6 11 0 1 13
6 12 0 1 11
6 13 0 1 11
6 14 0 1 9
6 15 0 1 9
7 0 0 1 15
7 1 0 1 14
7 2 0 1 13
7 3 0 1 12
7 4 0 1 11
7 5 0 1 10
7 6 0 1 9
7 7 0 1 8
7 8 0 1 15
7 9 0 1 14
7 10 0 1 13
7 11 0 1 12
7 12 0 1 11
7 13 0 1 10
7 14 0 1 9
7 15 0 1 8
8 0 0 1 15
8 1 0 1 15
8 2 0 1 15
8 3 0 1 15
8 4 0 1 15
8 5 0 1 15
8 6 0 1 15
8 7 0 1 15
8 8 0 1 7
8 9 0 1 7
8 10 0 1 7
8 11 0 1 7
8 12 0 1 7
8 13 0 1 7
8 14 0 1 7
8 15 0 1 7
9 0 0 1 15
9 1 0 1 14
9 2 0 1 15
9 3 0 1 14
9 4 0 1 15
9 5 0 1 14
9 6 0 1 15
9 7 0 1 14
9 8 0 1 7
9 9 0 1 6
9 10 0 1 7
9 11 0 1 6
9 12 0 1 7
9 13 0 1 6
9 14 0 1 7
9 15 0 1 6
10 0 0 1 15
10 1 0 1 15
10 2 0 1 13
10 3 0 1 13
10 4 0 1 15
10 5 0 1 15
10 6 0 1 13
10 7 0 1 13
10 8 0 1 7
10 9 0 1 7
10 10 0 1 5
10 11 0 1 5
10 12 0 1 7
10 13 0 1 7
10 14 0 1 5
10 15 0 1 5
11 0 0 1 15
11 1 0 1 14
11 2 0 1 13
11 3 0 1 12
11 4 0 1 15
11 5 0 1 14
11 6 0 1 13
11 7 0 1 12
11 8 0 1 7
11 9 0 1 6
11 10 0 1 5
11 11 0 1 4
11 12 0 1 7
11 13 0 1 6
11 14 0 1 5
11 15 0 1 4
12 0 0 1 15
12 1 0 1 15
12 2 0 1 15
12 3 0 1 15
12 4 0 1 11
12 5 0 1 11
12 6 0 1 11
12 7 0 1 11
12 8 0 1 7
12 9 0 1 7
12 10 0 1 7
12 11 0 1 7
12 12 0 1 3
12 13 0 1 3
12 14 0 1 3
12 15 0 1 3
13 0 0 1 15
13 1 0 1 14
13 2 0 1 15
13 3 0 1 14
13 4 0 1 11
13 5 0 1 10
13 6 0 1 11
13 7 0 1 10
13 8 0 1 7
13 9 0 1 6
13 10 0 1 7
13 11 0 1 6
13 12 0 1 3
13 13 0 1 2
13 14 0 1 3
13 15 0 1 2
14 0 0 1 15
14 1 0 1 15
14 2 0 1 13
14 3 0 1 13
14 4 0 1 11
14 5 0 1 11
14 6 0 1 9
14 7 0 1 9
14 8 0 1 7
14 9 0 1 7
14 10 0 1 5
14 11 0 1 5
14 12 0 1 3
14 13 0 1 3
14 14 0 1 1
14 15 0 1 1
15 0 0 1 15
15 1 0 1 14
15 2 0 1 13
15 3 0 1 12
15 4 0 1 11
15 5 0 1 10
15 6 0 1 9
15 7 0 1 8
15 8 0 1 7
15 9 0 1 6
15 10 0 1 5
15 11 0 1 4
15 12 0 1 3
15 13 0 1 2
15 14 0 1 1
15 15 0 1 0
0 0 0 2 15
0 1 0 2 14
0 2 0 2 13
0 3 0 2 12
0 4 0 2 11
0 5 0 2 10
0 6 0 2 9
0 7 0 2 8
0 8 0 2 7
0 9 0 2 6
0 10 0 2 5
0 11 0 2 4
0 12 0 2 3
0 13 0 2 2
0 14 0 2 1
0 15 0 2 0
1 0 0 2 14
1 1 0 2 14
1 2 0 2 12
1 3 0 2 12
1 4 0 2 10
1 5 0 2 10
1 6 0 2 8
1 7 0 2 8
1 8 0 2 6
1 9 0 2 6
1 10 0 2 4
1 11 0 2 4
1 12 0 2 2
1 13 0 2 2
1 14 0 2 0
1 15 0 2 0
2 0 0 2 13
2 1 0 2 12
2 2 0 2 13
2 3 0 2 12
2 4 0 2 9
2 5 0 2 8
2 6 0 2 9
2 7 0 2 8
2 8 0 2 5
2 9 0 2 4
2 10 0 2 5
2 11 0 2 4
2 12 0 2 1
2 13 0 2 0
2 14 0 2 1
2 15 0 2 0
3 0 0 2 12
3 1 0 2 12
3 2 0 2 12
3 3 0 2 12
3 4 0 2 8
3 5 0 2 8
3 6 0 2 8
3 7 0 2 8
3 8 0 2 4
3 9 0 2 4
3 10 0 2 4
3 11 0 2 4
3 12 0 2 0
3 13 0 2 0
3 14 0 2 0
3 15 0 2 0
4 0 0 2 11
4 1 0 2 10
4 2 0 2 9
4 3 0 2 8
4 4 0 2 11
4 5 0 2 10
4 6 0 2 9
4 7 0 2 8
4 8 0 2 3
4 9 0 2 2
4 10 0 2 1
4 11 0 2 0
4 12 0 2 3
4 13 0 2 2
4 14 0 2 1
4 15 0 2 0
5 0 0 2 10
5 1 0 2 10
5 2 0 2 8
5 3 0 2 8
5 4 0 2 10
5 5 0 2 10
5 6 0 2 8
5 7 0 2 8
5 8 0 2 2
5 9 0 2 2
5 10 0 2 0
5 11 0 2 0
5 12 0 2 2
5 13 0 2 2
5 14 0 2 0
5 15 0 2 0
6 0 0 2 9
6 1 0 2 8
6 2 0 2 9
6 3 0 2 8
6 4 0 2 9
6 5 0 2 8
6 6 0 2 9
6 7 0 2 8
6 8 0 2 1
6 9 0 2 0
6 10 0 2 1
6 11 0 2 0
6 12 0 2 1
6 13 0 2 0
6 14 0 2 1
6 15 0 2 0
7 0 0 2 8
7 1 0 2 8
7 2 0 2 8
7 3 0 2 8
7 4 0 2 8
7 5 0 2 8
7 6 0 2 8
7 7 0 2 8
7 8 0 2 0
7 9 0 2 0
7 10 0 2 0
7 11 0 2 0
7 12 0 2 0
7 13 0 2 0
7 14 0 2 0
7 15 0 2 0
8 0 0 2 7
8 1 0 2 6
8 2 0 2 5
8 3 0 2 4
8 4 0 2 3
8 5 0 2 2
8 6 0 2 1
8 7 0 2 0
8 8 0 2 7
8 9 0 2 6
8 10 0 2 5
8 11 0 2 4
8 12 0 2 3
8 13 0 2 2
8 14 0 2 1
8 15 0 2 0
9 0 0 2 6
9 1 0 2 6
9 2 0 2 4
9 3 0 2 4
9 4 0 2 2
9 5 0 2 2
9 6 0 2 0
9 7 0 2 0
9 8 0 2 6
9 9 0 2 6
9 10 0 2 4
9 11 0 2 4
9 12 0 2 2
9 13 0 2 2
9 14 0 2 0
9 15 0 2 0
10 0 0 2 5
10 1 0 2 4
10 2 0 2 5
10 3 0 2 4
10 4 0 2 1
10 5 0 2 0
10 6 0 2 1
10 7 0 2 0
10 8 0 2 5
10 9 0 2 4
10 10 0 2 5
10 11 0 2 4
10 12 0 2 1
10 13 0 2 0
10 14 0 2 1
10 15 0 2 0
11 0 0 2 4
11 1 0 2 4
11 2 0 2 4
11 3 0 2 4
11 4 0 2 0
11 5 0 2 0
11 6 0 2 0
11 7 0 2 0
11 8 0 2 4
11 9 0 2 4
11 10 0 2 4
11 11 0 2 4
11 12 0 2 0
11 13 0 2 0
11 14 0 2 0
11 15 0 2 0
12 0 0 2 3
12 1 0 2 2
12 2 0 2 1
12 3 0 2 0
12 4 0 2 3
12 5 0 2 2
12 6 0 2 1
12 7 0 2 0
12 8 0 2 3
12 9 0 2 2
12 10 0 2 1
12 11 0 2 0
12 12 0 2 3
12 13 0 2 2
12 14 0 2 1
12 15 0 2 0
13 0 0 2 2
13 1 0 2 2
13 2 0 2 0
13 3 0 2 0
13 4 0 2 2
13 5 0 2 2
13 6 0 2 0
13 7 0 2 0
13 8 0 2 2
13 9 0 2 2
13 10 0 2 0
13 11 0 2 0
13 12 0 2 2
13 13 0 2 2
13 14 0 2 0
13 15 0 2 0
14 0 0 2 1
14 1 0 2 0
14 2 0 2 1
14 3 0 2 0
14 4 0 2 1
14 5 0 2 0
14 6 0 2 1
14 7 0 2 0
14 8 0 2 1
14 9 0 2 0
14 10 0 2 1
14 11 0 2 0
14 12 0 2 1
14 13 0 2 0
14 14 0 2 1
14 15 0 2 0
15 0 0 2 0
15 1 0 2 0
15 2 0 2 0
15 3 0 2 0
15 4 0 2 0
15 5 0 2 0
15 6 0 2 0
15 7 0 2 0
15 8 0 2 0
15 9 0 2 0
15 10 0 2 0
15 11 0 2 0
15 12 0 2 0
15 13 0 2 0
15 14 0 2 0
15 15 0 2 0
0 0 0 3 15
0 1 0 3 14
0 2 0 3 13
0 3 0 3 12
0 4 0 3 11
0 5 0 3 10
0 6 0 3 9
0 7 0 3 8
0 8 0 3 7
0 9 0 3 6
0 10 0 3 5
0 11 0 3 4
0 12 0 3 3
0 13 0 3 2
0 14 0 3 1
0 15 0 3 0
1 0 0 3 14
1 1 0 3 15
1 2 0 3 12
1 3 0 3 13
1 4 0 3 10
1 5 0 3 11
1 6 0 3 8
1 7 0 3 9
1 8 0 3 6
1 9 0 3 7
1 10 0 3 4
1 11 0 3 5
1 12 0 3 2
1 13 0 3 3
1 14 0 3 0
1 15 0 3 1
2 0 0 3 13
2 1 0 3 12
2 2 0 3 15
2 3 0 3 14
2 4 0 3 9
2 5 0 3 8
2 6 0 3 11
2 7 0 3 10
2 8 0 3 5
2 9 0 3 4
2 10 0 3 7
2 11 0 3 6
2 12 0 3 1
2 13 0 3 0
2 14 0 3 3
2 15 0 3 2
3 0 0 3 12
3 1 0 3 13
3 2 0 3 14
3 3 0 3 15
3 4 0 3 8
3 5 0 3 9
3 6 0 3 10
3 7 0 3 11
3 8 0 3 4
3 9 0 3 5
3 10 0 3 6
3 11 0 3 7
3 12 0 3 0
3 13 0 3 1
3 14 0 3 2
3 15 0 3 3
4 0 0 3 11
4 1 0 3 10
4 2 0 3 9
4 3 0 3 8
4 4 0 3 15
4 5 0 3 14
4 6 0 3 13
4 7 0 3 12
4 8 0 3 3
4 9 0 3 2
4 10 0 3 1
4 11 0 3 0
4 12 0 3 7
4 13 0 3 6
4 14 0 3 5
4 15 0 3 4
5 0 0 3 10
5 1 0 3 11
5 2 0 3 8
5 3 0 3 9
5 4 0 3 14
5 5 0 3 15
5 6 0 3 12
5 7 0 3 13
5 8 0 3 2
5 9 0 3 3
5 10 0 3 0
5 11 0 3 1
5 12 0 3 6
5 13 0 3 7
5 14 0 3 4
5 15 0 3 5
6 0 0 3 9
6 1 0 3 8
6 2 0 3 11
6 3 0 3 10
6 4 0 3 13
6 5 0 3 12
6 6 0 3 15
6 7 0 3 14
6 8 0 3 1
6 9 0 3 0
6 10 0 3 3
6 11 0 3 2
6 12 0 3 5
6 13 0 3 4
6 14 0 3 7
6 15 0 3 6
7 0 0 3 8
7 1 0 3 9
7 2 0 3 10
7 3 0 3 11
7 4 0 3 12
7 5 0 3 13
7 6 0 3 14
7 7 0 3 15
7 8 0 3 0
7 9 0 3 1
7 10 0 3 2
7 11 0 3 3
7 12 0 3 4
7 13 0 3 5
7 14 0 3 6
7 15 0 3 7
8 0 0 3 7
8 1 0 3 6
8 2 0 3 5
8 3 0 3 4
8 4 0 3 3
8 5 0 3 2
8 6 0 3 1
8 7 0 3 0
8 8 0 3 15
8 9 0 3 14
8 10 0 3 13
8 11 0 3 12
8 12 0 3 11
8 13 0 3 10
8 14 0 3 9
8 15 0 3 8
9 0 0 3 6
9 1 0 3 7
9 2 0 3 4
9 3 0 3 5
9 4 0 3 2
9 5 0 3 3
9 6 0 3 0
9 7 0 3 1
9 8 0 3 14
9 9 0 3 15
9 10 0 3 12
9 11 0 3 13
9 12 0 3 10
9 13 0 3 11
9 14 0 3 8
9 15 0 3 9
10 0 0 3 5
10 1 0 3 4
10 2 0 3 7
10 3 0 3 6
10 4 0 3 1
10 5 0 3 0
10 6 0 3 3
10 7 0 3 2
10 8 0 3 13
10 9 0 3 12
10 10 0 3 15
10 11 0 3 14
10 12 0 3 9
10 13 0 3 8
10 14 0 3 11
10 15 0 3 10
11 0 0 3 4
11 1 0 3 5
11 2 0 3 6
11 3 0 3 7
11 4 0 3 0
11 5 0 3 1
11 6 0 3 2
11 7 0 3 3
11 8 0 3 12
11 9 0 3 13
11 10 0 3 14
11 11 0 3 15
11 12 0 3 8
11 13 0 3 9
11 14 0 3 10
11 15 0 3 11
12 0 0 3 3
12 1 0 3 2
12 2 0 3 1
12 3 0 3 0
12 4 0 3 7
12 5 0 3 6
12 6 0 3 5
12 7 0 3 4
12 8 0 3 11
12 9 0 3 10
12 10 0 3 9
12 11 0 3 8
12 12 0 3 15
12 13 0 3 14
12 14 0 3 13
12 15 0 3 12
13 0 0 3 2
13 1 0 3 3
13 2 0 3 0
13 3 0 3 1
13 4 0 3 6
13 5 0 3 7
13 6 0 3 4
13 7 0 3 5
13 8 0 3 10
13 9 0 3 11
13 10 0 3 8
13 11 0 3 9
13 12 0 3 14
13 13 0 3 15
13 14 0 3 12
13 15 0 3 13
14 0 0 3 1
14 1 0 3 0
14 2 0 3 3
14 3 0 3 2
14 4 0 3 5
14 5 0 3 4
14 6 0 3 7
14 7 0 3 6
14 8 0 3 9
14 9 0 3 8
14 10 0 3 11
14 11 0 3 10
14 12 0 3 13
14 13 0 3 12
14 14 0 3 15
14 15 0 3 14
15 0 0 3 0
15 1 0 3 1
15 2 0 3 2
15 3 0 3 3
15 4 0 3 4
15 5 0 3 5
15 6 0 3 6
15 7 0 3 7
15 8 0 3 8
15 9 0 3 9
15 10 0 3 10
15 11 0 3 11
15 12 0 3 12
15 13 0 3 13
15 14 0 3 14
15 15 0 3 15
